LOD-Artikel;Grondformen;Wuertaart
HOCHZAIT1;Hochzäit;Substantiv, Femininum
HOER1;Hoer;Substantiv, Neutrum
HOND1;Hond;Substantiv, Maskulinum
HOTEL1;Hotel;Substantiv, Maskulinum
HOUSCHT1;Houscht;Substantiv, Maskulinum
HOUSEKER1;Houseker;Substantiv, Maskulinum
HUELEN1;huelen;Verb
HUNN1;hunn;Verb
HUNN3;hunn;Hëllefsverb
HUNNEG1;Hunneg;Substantiv, Maskulinum
IDDI1;Iddi;Substantiv, Femininum
IESSEN3;iessen;Verb
IESSGEWUNNECHT1;Iessgewunnecht;Substantiv, Femininum
IMMENS1;immens;Adjektiv
IMMENS2;immens;Adverb
INFIRMIER1;Infirmier;Substantiv, Maskulinum
INFIRMIERE1;Infirmière;Substantiv, Femininum
INFORMATIKER1;Informatiker;Substantiv, Maskulinum
INFORMATIKERIN1;Informatikerin;Substantiv, Femininum
INFORMATIOUN1;Informatioun;Substantiv, Femininum
INTERESSANT1;interessant;Adjektiv
IWWERSETZER1;Iwwersetzer;Substantiv, Maskulinum
IWWERSETZERIN1;Iwwersetzerin;Substantiv, Femininum
JANUAR1;Januar;Substantiv, Maskulinum
JO1;jo;Partikel
JOER1;Joer;Substantiv, Neutrum
JOFFER1;Joffer;Substantiv, Femininum
JONG1;Jong;Substantiv, Maskulinum
JONGGESELL1;Jonggesell;Substantiv, Maskulinum
JONGGESELLIN1;Jonggesellin;Substantiv, Femininum
JONK1;jonk;Adjektiv
JORESZAIT1;Joreszäit;Substantiv, Femininum
JOURNALIST1;Journalist;Substantiv, Maskulinum
JOURNALISTIN1;Journalistin;Substantiv, Femininum
JUGURT1;Jugurt;Substantiv, Maskulinum
JULI1;Juli;Substantiv, Maskulinum
JUNI1;Juni;Substantiv, Maskulinum
JUS1;Jus;Substantiv, Maskulinum
JUST2;just;Adverb
KAART1;Kaart;Substantiv, Femininum
KACH1;Kach;Substantiv, Maskulinum
KACHEN1;Kächen;Substantiv, Femininum
KACHEN2;kachen;Verb
KACHIN1;Kächin;Substantiv, Femininum
KACHKEIS1;Kachkéis;Substantiv, Maskulinum
KADDO1;Kaddo;Substantiv, Maskulinum
KAERZ1;Käerz;Substantiv, Femininum
KAFEN1;kafen;Verb
KAFFI1;Kaffi;Substantiv, Maskulinum
KAFFIDRENKEN1;Kaffidrénken;Substantiv, Neutrum
KAL1;kal;Adjektiv
KAMELL1;Kamell;Substantiv, Femininum
KAND1;Kand;Substantiv, Neutrum
KANNAPEE1;Kannapee;Substantiv, Maskulinum
KANTIN1;Kantin;Substantiv, Femininum
KAPP1;Kapp;Substantiv, Maskulinum
KASCHTEN2;kaschten;Verb
KAZ1;Kaz;Substantiv, Femininum
KEEN1;keen;Indefinitpronomen
KEESS1;Keess;Substantiv, Femininum
KEESSJEE1;Keessjee;Substantiv, Maskulinum
KEIER1;Kéier;Substantiv, Femininum
KEIS1;Kéis;Substantiv, Maskulinum
KENG3;keng;Indefinitpronomen
KENNEN1;kënnen;Modalverb
KENNEN3;kënnen;Verb
KETCHUP1;Ketchup;Substantiv, Maskulinum
KICHELCHEN1;Kichelchen;Substantiv, Maskulinum
KIERMES1;Kiermes;Substantiv, Femininum
KIISCHT1;Kiischt;Substantiv, Femininum
KILO1;Kilo;Substantiv, Maskulinum
KINO1;Kino;Substantiv, Maskulinum
KIWI1;Kiwi;Substantiv, Maskulinum/Femininum
KLEESCHEN2;Kleeschen;Substantiv, Maskulinum
KLEESERCHERSDAG1;Kleeserchersdag;Substantiv, Maskulinum
KLENG1;kleng;Adjektiv
KLINICK1;Klinick;Substantiv, Femininum
KNATSCH1;Knätsch;Substantiv, Maskulinum
KOMMEN1;kommen;Verb
KOMPLETT1;komplett;Adjektiv
KOMPLIZEIERT1;komplizéiert;Adjektiv
KONTAKT1;Kontakt;Substantiv, Maskulinum
KONTROLLEIEREN1;kontrolléieren;Verb
KONVENIAT1;Konveniat;Substantiv, Maskulinum
KOPPEL1;Koppel;Substantiv, Femininum
KORNISCHONG1;Kornischong;Substantiv, Femininum
KOSENG1;Koseng;Substantiv, Maskulinum
KRANK1;krank;Adjektiv
KRAUT1;Kraut;Substantiv, Neutrum
KREIEN2;kréien;Verb
KUCH1;Kuch;Substantiv, Maskulinum
KUCKEN1;kucken;Verb
KUERZ1;kuerz;Adjektiv
KURBIS1;Kürbis;Substantiv, Maskulinum
KUSIN1;Kusin;Substantiv, Femininum
KUSS1;Kuss;Substantiv, Maskulinum
LAANG1;laang;Adjektiv
LAFEN1;lafen;Verb
LAFFEL1;Läffel;Substantiv, Maskulinum
LAMPION1;Lampion;Substantiv, Maskulinum
LANGWEILEG1;langweileg;Adjektiv
LAUSCHTEREN1;lauschteren;Verb
LEIEN2;leien;Verb
LEIEREN2;léieren;Verb
LEIERJONG1;Léierjong;Substantiv, Maskulinum
LEIERMEEDCHEN1;Léiermeedchen;Substantiv, Neutrum
LEIF2;léif;Adjektiv
LEIT1;Leit;Substantiv
LEIWER1;léiwer;Adverb
LETZEBUERGER2;Lëtzebuerger;onverännerbaart Adjektiv
LETZEBUERGESCH1;lëtzebuergesch;Adjektiv
LETZEBUERGESCH2;Lëtzebuergesch;Substantiv, Neutrum
LIBLINGSIESSEN1;Liblingsiessen;Substantiv, Neutrum
LIBRAIRIE1;Librairie;Substantiv, Femininum
LIDD1;Lidd;Substantiv, Neutrum
LIESEN1;liesen;Verb
LIICHT1;liicht;Adjektiv
LIICHTEN1;liichten;Verb
LIICHTMESSDAG1;Liichtmëssdag;Substantiv, Maskulinum
LITER1;Liter;Substantiv, Maskulinum
LOFT1;Loft;Substantiv, Femininum
LOFTBALLON1;Loftballon;Substantiv, Maskulinum
LUES1;lues;Adjektiv
LUTSCH1;Lutsch;Substantiv, Femininum
LYCEE1;Lycée;Substantiv, Maskulinum
MA1;mä;Konjunktioun
MAACHEN1;maachen;Verb
MAART1;Maart;Substantiv, Maskulinum
MADAME1;Madame;Substantiv, Femininum
MADAMM1;Madamm;Substantiv, Femininum
MAERZ1;Mäerz;Substantiv, Maskulinum
MAM2;mam;
MAMM1;Mamm;Substantiv, Femininum
MAMMA1;Mamma;Substantiv, Femininum
MAMMENDAG1;Mammendag;Substantiv, Maskulinum
MANGO1;Mango;Substantiv, Femininum
MANN1;Mann;Substantiv, Maskulinum
MANNST1;mannst;Indefinitpronomen
MARMERKUCH1;Marmerkuch;Substantiv, Maskulinum
MAT1;mat;Prepositioun
MATGOEN1;matgoen;Verb
MATHUELEN1;mathuelen;Verb
MAYONNAISE1;Mayonnaise;Substantiv, Femininum
MECANICIEN1;Mecanicien;Substantiv, Maskulinum
MECANICIENNE1;Mecanicienne;Substantiv, Femininum
MEDIKAMENT1;Medikament;Substantiv, Neutrum
MEE1;Mee;Substantiv, Maskulinum
MEE2;mee;Konjunktioun
MEEDCHEN1;Meedchen;Substantiv, Neutrum
MEI1;méi;Adverb
MEI3;méi;Indefinitpronomen
MEINDEG1;Méindeg;Substantiv, Maskulinum
MEINDES1;méindes;Adverb
MELLECH1;Mëllech;Substantiv, Femininum
MELOUN1;Meloun;Substantiv, Femininum
MENGEN1;mengen;Verb
MENU1;Menü;Substantiv, Maskulinum
MERCI2;merci;Interjektioun
MESCHEN1;mëschen;Verb
METSCH1;Mëtsch;Substantiv, Femininum
METT1;Mëtt;Substantiv, Femininum
METTEG1;Mëtteg;Substantiv, Maskulinum
METTEGIESSEN1;Mëttegiessen;Substantiv, Neutrum
METTES1;mëttes;Adverb
METTESPAUS1;Mëttespaus;Substantiv, Femininum
METTWOCH1;Mëttwoch;Substantiv, Maskulinum
METTWOCHS1;mëttwochs;Adverb
METTWURSCHT1;Mettwurscht;Substantiv, Femininum
METZLER1;Metzler;Substantiv, Maskulinum
METZLESCH1;Metzlesch;Substantiv, Femininum
MICKYMAUS1;Mickymaus;Substantiv, Femininum
MIDD1;midd;Adjektiv
MIEL1;Miel;Substantiv, Neutrum
MIKROWELL1;Mikrowell;Substantiv, Femininum
MINETT1;Minett;Substantiv, Femininum
MINIGOLF1;Minigolf;Substantiv, Maskulinum
MINUS3;minus;Adverb
MINUTT1;Minutt;Substantiv, Femininum
MOIEN1;Moien;Substantiv, Maskulinum
MOIEN2;moien;Interjektioun
MOIES1;moies;Adverb
MOL1;Mol;Substantiv, Neutrum
MOLEN1;molen;Verb
MOLZECHT1;Molzecht;Substantiv, Femininum
MOMENT1;Moment;Substantiv, Maskulinum
MONITEUR1;Moniteur;Substantiv, Maskulinum
MONITRICE1;Monitrice;Substantiv, Femininum
MONNI1;Monni;Substantiv, Maskulinum
MONSIEUR1;Monsieur;Substantiv, Maskulinum
MOTO1;Moto;Substantiv, Maskulinum
MOUNT1;Mount;Substantiv, Maskulinum
MUER1;muer;Adverb
MUERT1;Muert;Substantiv, Femininum
MUSEE1;Musée;Substantiv, Maskulinum
MUSEK1;Musek;Substantiv, Femininum
MUSEKER1;Museker;Substantiv, Maskulinum
MUSEKERIN1;Musekerin;Substantiv, Femininum
MUSKAT1;Muskat;Substantiv, Maskulinum
MUSKOT1;Muskot;Substantiv, Maskulinum
MUSLI1;Müsli;Substantiv, Maskulinum
MUSSEN1;mussen;Modalverb
MUUSLI1;Müüsli;Substantiv, Maskulinum
NACH1;nach;Adverb
NATIERLECH2;natierlech;Adverb
NATIONALFEIERDAG1;Nationalfeierdag;Substantiv, Maskulinum
NEE1;nee;Partikel
NEI1;nei;Adjektiv
NEMMEN1;nëmmen;Adverb
NET1;net;Partikel
NEVEU1;Neveu;Substantiv, Maskulinum
NIESS1;Niess;Substantiv, Femininum
NIWWELEG1;niwweleg;Adjektiv
NO1;no;Prepositioun
NOMETTES1;nomëttes;Adverb
NOPER1;Noper;Substantiv, Maskulinum
NOPESCH1;Nopesch;Substantiv, Femininum
NORDEN1;Norden;Substantiv, Maskulinum
NORIICHT1;Noriicht;Substantiv, Femininum
NORMALERWEIS1;normalerweis;Adverb
NOSS1;Noss;Substantiv, Femininum
NOTEIEREN1;notéieren;Verb
NOVEMBER1;November;Substantiv, Maskulinum
NUDDEL1;Nuddel;Substantiv, Femininum
NUECHT1;Nuecht;Substantiv, Femininum
